SampleID	total_reads
s.109.Healthy.greaterthan5.Stool.1.910	11707057
s.109.Healthy.greaterthan5.Stool.2.1046	12173144
s.109.Healthy.greaterthan5.Stool.3.1047	2643534
s.135.Healthy.Antibiotics.Feces.Baseline	7268330
s.135.Healthy.Antibiotics.Feces.Week.4	8524358
s.135.Healthy.Antibiotics.Feces.Week.8	15786906
s.154.VEO.Feces.Baseline	9631881
s.154.VEO.Feces.Week.4	8471501
s.154.VEO.Feces.Week.8	10336799
s.155.Healthy.Antibiotics.Feces.Baseline	8387887
s.155.Healthy.Antibiotics.Feces.Week.4	8740746
s.155.Healthy.Antibiotics.Feces.Week.8	8416780
s.173.VEO.Feces.Baseline	8297644
s.173.VEO.Feces.Week.4	8873522
s.173.VEO.Feces.Week.8	9241456
s.175.VEO.Feces.Baseline	13379493
s.175.VEO.Feces.Week_4	10769516
s.175.VEO.Feces.Week_8	9707940
s.190.Healthy.Antibiotics.Feces.Baseline	7140710
s.190.Healthy.Antibiotics.Feces.Week.4	7092218
s.190.Healthy.Antibiotics.Feces.Week.8	13024565
s.197.Healthy.Antibiotics.Feces.Baseline	11591798
s.197.Healthy.Antibiotics.Feces.Week.4	9988158
s.197.Healthy.Antibiotics.Feces.Week.8	8795347
s.200.Healthy.Antibiotics.Feces.Baseline	8967518
s.200.Healthy.Antibiotics.Feces.Week.4	9341880
s.200.Healthy.Antibiotics.Feces.Week.8	8074443
s.204.Healthy.Antibiotics.Feces.Baseline	8601498
s.204.Healthy.Antibiotics.Feces.Week.4	10138344
s.204.Healthy.Antibiotics.Feces.Week.8	8726764
s.209.Healthy.Antibiotics.Feces.Baseline	9410256
s.209.Healthy.Antibiotics.Feces.Week.4	9594545
s.209.Healthy.Antibiotics.Feces.Week.8	9613746
s.212.IBD.Feces.Baseline	9853856
s.212.IBD.Feces.Week.4	9809741
s.212.IBD.Feces.Week.8	7253903
s.214.Healthy.Antibiotics.Feces.Baseline	8231812
s.214.Healthy.Antibiotics.Feces.Week.4	6188956
s.214.Healthy.Antibiotics.Feces.Week.8	9938613
s.222.IBD_CDiff.Feces.Baseline	15817492
s.222.IBD_CDiff.Feces.Week_4	8782674
s.222.IBD_CDiff.Feces.Week_8	9305475
s.225.IBD_Therapy.Feces.Baseline	8817268
s.225.IBD_Therapy.Feces.Week_4	3957381
s.225.IBD_Therapy.Feces.Week_8	8546660
s.233.Healthy.Antibiotics.Feces.Baseline	7532161
s.233.Healthy.Antibiotics.Feces.Week.4	7262082
s.233.Healthy.Antibiotics.Feces.Week.8	8495404
s.235.C_Diff_Oncology.Feces.Baseline	15343228
s.235.C_Diff_Oncology.Feces.Week_4	1390575
s.235.C_Diff_Oncology.Feces.Week_8	14498093
s.252.Healthy.Antibiotics.Feces.Baseline	8615724
s.252.Healthy.Antibiotics.Feces.Week.4	8359477
s.252.Healthy.Antibiotics.Feces.Week.8	8474858
s.259.Healthy.Antibiotics.Feces.Baseline	8826339
s.259.Healthy.Antibiotics.Feces.Week.4	8942176
s.259.Healthy.Antibiotics.Feces.Week.8	8811101
s.261.IBD_Therapy.Feces.Baseline	10859388
s.261.IBD_Therapy.Feces.Week_4	3664763
s.261.IBD_Therapy.Feces.Week_8	3902294
s.265.IBD_C.Diff.Feces.Baseline	4473570
s.265.IBD_C.Diff.Feces.Week_4	9849618
s.271.C.Diff_Oncology.Feces.Baseline	8966883
s.271.C.Diff_Oncology.Feces.Week_4	9698990
